Messenger,102358,2015/02/25,2016/03/26,41.94,0,10009938G
TikTok,28477,2016/03/09,2017/12/15,66.47,0,11495119E
Reproductor Mix PRO,569998,2014/01/21,2014/12/27,102.45,6.10,19200394N
RadarCOVID,652223,2020/05/30,2020/10/18,85.23,0,88941939B
Shazam,95658,2017/06/20,2018/01/02,105.52,0,51089844F
WhatsApp,23578,2013/01/01,2014/02/25,92.85,0,29324891U
PhotoPills,56002,2015/03/24,2017/01/25,26.22,10.99,59995929E
Twitter,27841,2016/04/20,2017/03/24,56.36,0,29912512V
SnapChat,56477,2019/01/20,2019/12/22,61.23,0,81594198A
RTNoticias,52339,2019/05/14,2019/10/01,52.45,7.99,83939825P
